Time, MQ2RZero, MQ7RZero, MQ135RZero
16:45:38,72002.7589134,472.962186942,1561895.71823
17:01:11,109388.216521,714.366991756,2311420.92541
17:16:44,128382.368771,838.822602867,2698438.36326
17:32:17,137330.224514,903.867320955,2926826.22583
17:47:51,142136.164889,939.709949095,3004884.10739
18:03:24,144618.31272,958.82351501,3075335.7001
18:18:57,146487.160998,969.237753944,3135699.61801
18:34:31,147265.671646,975.484410589,3178450.63773
18:50:04,147364.137497,978.8674712,3163690.09787
19:05:37,147602.70799,980.83311299,3206586.07104
19:21:11,148009.712535,981.805808908,3204467.06867
19:36:44,148942.636062,982.045222945,3218176.21389
19:52:17,149758.946585,982.709290018,3211519.04617
20:07:50,150539.082085,982.98224194,3257209.79933
20:23:24,150971.320635,983.926165471,3268114.56817
20:38:57,151222.75449,984.452534787,3265082.83657
20:54:30,151164.160064,984.602790889,3246912.96525
